r, promedio
1.444527329445273267e+01,-4.247332764319548121e-02
1.452597314525973182e+01,-4.236828644270965172e-02
1.460667299606673097e+01,-4.313148730479288151e-02
1.468737284687373013e+01,-4.285005993824592130e-02
1.476807269768072750e+01,-4.347447663537635371e-02
1.484877254848772488e+01,-4.324700749588475390e-02
1.492947239929472580e+01,-4.348440834380407766e-02
1.501017225010172318e+01,-4.372129316481924294e-02
1.509087210090872233e+01,-4.339945970492693067e-02
1.517157195171571971e+01,-4.379613675222857050e-02
1.525227180252271708e+01,-4.327161076277154239e-02
1.533297165332971801e+01,-4.325073882302869765e-02
1.541367150413671538e+01,-4.297255874291856792e-02
1.549437135494371276e+01,-4.236634603779845104e-02
1.557507120575071191e+01,-4.263458656618347026e-02
1.565577105655771284e+01,-4.191532329159230325e-02
1.573647090736471021e+01,-4.231465947506547060e-02
1.581717075817170759e+01,-4.155121525502229046e-02
1.589787060897870496e+01,-4.201823441014650856e-02
1.597857045978570412e+01,-4.239110156924622702e-02
1.605927031059270504e+01,-4.200081290343837120e-02
1.613997016139970242e+01,-4.422465394571074154e-02
1.622067001220669979e+01,-4.310034848942576047e-02
1.630136986301369717e+01,-4.760869764918882613e-02
1.638206971382069455e+01,-4.522460736860629826e-02
1.646276956462769903e+01,-4.837408081870506887e-02
1.654346941543469640e+01,-5.098939107222032890e-02
1.662416926624169378e+01,-5.195378623381488592e-02
1.670486911704869115e+01,-5.535099992460320445e-02
1.678556896785568853e+01,-5.507191254124282898e-02
1.686626881866268945e+01,-5.658718448037113741e-02
1.694696866946968683e+01,-5.554325279287031236e-02
1.702766852027668421e+01,-5.470530822929790121e-02
1.710836837108368513e+01,-5.545665971617488865e-02
1.718906822189068251e+01,-5.586527003966404448e-02
