s,x,y
0.0,0.0,-0.0018437412743602358
0.0026206143136486794,2.931516820921362e-06,-0.0018437363887425394
0.00524123035586054,5.863004577429056e-06,-0.0018437248652270386
0.007861847191608174,8.79445067256054e-06,-0.0018437056594592237
0.010482465080326084,1.1725835995725649e-05,-0.001843678771549388
0.013103088120170588,1.465713420685971e-05,-0.0018436442017554743
0.015723719074574503,1.758833846063904e-05,-0.0018436019501531637
0.01834437418869327,2.0519413529911738e-05,-0.0018435520171475644
0.0209650471823729,2.3450352544939192e-05,-0.0018434944028932604
0.023585736471245945,2.6381130397569624e-05,-0.001843429107777059
0.026206445563263434,2.9311722754527767e-05,-0.0018433561322984899
0.02882717542076054,3.2242119267529345e-05,-0.0018432754766834552
0.0314479318737699,3.517226264450894e-05,-0.0018431871423322628
0.03406871206603234,3.810218135531345e-05,-0.0018430911285612303
0.03668952032066174,4.1031831464755425e-05,-0.0018429874366422039
0.039310358859411955,4.3961190393468665e-05,-0.0018428760672288163
0.04193122090174468,4.689031800681347e-05,-0.001842757018374562
0.044552131561563096,4.981900594793787e-05,-0.0018426302972175184
0.047173073158506794,5.274740090149725e-05,-0.0018424958987324298
0.04979405175203324,5.567546233627585e-05,-0.0018423538244996332
0.05241507345642561,5.860314941083679e-05,-0.0018422040761129402
0.05503614068885325,6.153044220315491e-05,-0.0018420466542574561
0.057657259041399546,6.445731940349882e-05,-0.00184188156005032
0.06027843383833448,6.738375840010993e-05,-0.001841708794602047
0.06289966916532866,7.030973055953567e-05,-0.001841528358992512
0.06552096331298349,7.32352177873769e-05,-0.001841340254332582
0.06814231502929351,7.616020143317921e-05,-0.0018411444817319196
0.07076372740701196,7.908465881613518e-05,-0.0018409410423344706
0.07338520235855969,8.200857278404755e-05,-0.0018407299374368306
0.07600674113030163,8.493192203957212e-05,-0.001840511168156346
0.07862834589512357,8.785468726487332e-05,-0.0018402847359659975
0.08125001825133406,9.077684857573313e-05,-0.0018400506420996616
0.08387176049172643,9.369838597619414e-05,-0.0018398088879785076
0.08649357528583548,9.66192794104326e-05,-0.0018395594751254023
0.0891154646514389,9.953950897469724e-05,-0.001839302404935595
0.09173743178546388,0.00010245905422648756,-0.0018390376793338235
0.09435947856668261,0.00010537789539704628,-0.001838765299571949
0.09698160734101129,0.00010829601247884669,-0.0018384852671402953
0.09960382031214123,0.00011121338527556691,-0.0018381975839888375
0.10222611971337488,0.00011412999363019215,-0.001837902251971852
0.10484850791215396,0.00011704581756376953,-0.0018375992725100947
0.1074709872087575,0.00011996083700856631,-0.001837288647242725
0.11009355973375613,0.00012287503180415587,-0.0018369703788327625
0.11271622783299592,0.000125788381907694,-0.0018366444686444587
0.1153389937798483,0.00012870086723675115,-0.0018363109184793087
0.11796185982690974,0.00013161246772416452,-0.0018359697305002597
0.12058482821098883,0.0001345231633143735,-0.0018356209071449467
0.12320790121422272,0.00013743293391850687,-0.0018352644500623538
